GENE_NAME	human.mean
PDP1	16.5625
TMEM67	10.825
WASHC5	8.55
FAM219A	13.61
C9orf24	13.5675
SNAPC3	15.8425
SLC44A1	6.18
PSIP1	13.065
ABCA1	2.7975
TMEM260	1.7875
FXN	14.9925
ZMAT4	0.2875
NKX6-3	0
TMEM71	6.3375
MAMDC2	3.895
CPA6	0
C8orf34	0.4
TMC1	0.1
SMG6	15.4325
KDM1B	3.9875
HGSNAT	13.595
RASEF	5.375
GKAP1	7.1075
KIF27	2.7225
C9orf64	3.65
SSMEM1	0
TRPV6	0.0475
EXOC5	12.48
LLCFC1	0.0725
ANKS6	3.26
ZHX1	9.6675
CFAP47	0.005
CYBB	4.5475
MID1IP1	54.51
CLTCL1	4.965
C9orf84	0.0375
CXorf58	0.1425
KIAA1958	0.9625
PTCHD1	0.0875
RNF183	0.065
ASB11	22.5325
PCDH19	0.2475
PIGA	1.4975
VEGFD	8.4425
OR1Q1	0.05
FGF22	0.2875
STRBP	5.1575
GAPVD1	7.35
WNK2	72.345
ATP7A	0.8525
ZNF367	1.0475
HDX	0.415
FSTL3	54.9625
NOL6	8.085
AQP3	16.175
TRMT10B	2.75
VCP	135.96
PIGO	4.72
STOML2	69.37
BRWD3	0.94
SLITRK5	0.0575
ARMC3	0.0525
OTUD1	20.3325
ARHGAP12	6.03
FAT3	0.1975
HECTD2	1.1075
FBXO33	3.66
GPR101	0
CLDN2	0.015
LAMP2	21.95
LRFN5	0.2025
LRRC18	0.0325
WRN	1.2525
MARCH8	12.8375
TSHR	0.0325
GTF2A1	4.7425
ZCCHC24	22.8875
MNT	7.775
PGM2L1	0.61
PHYHIPL	0.2775
SLC16A9	0.2375
INPPL1	59.295
PHOX2A	0.02
GJB2	0.105
CRYL1	11.58
REEP3	4.99
HEPACAM	0.6075
MICU2	30.72
DDIAS	0.1075
PCF11	12.095
PKNOX2	3.035
LRR1	2.11
C10orf10	87.86
JMJD6	31.9075
ZNF22	4.935
KLHDC2	37.8575
EML5	0.5725
NEMF	12.8075
RPUSD4	23.8425
ARF6	18.275
TTC8	3.74
TMEM63C	0.5475
NGB	0
NOXRED1	0.0875
POLB	10.8275
CDX2	0
AMER2	0.0125
DRGX	0
NUDT5	8.3725
DACT1	1.9525
OXGR1	0.0925
UCMA	0
BEND7	5.5725
TAF3	4.05
VSTM4	7.4275
VDAC2	181.225
SOHLH1	0.0225
SLC18A2	1.5425
PDZD8	4.5875
WIPI1	45.845
ZNF503	5.46
QSOX2	3.9075
NSD1	5.4975
ENOX2	3.66
CLEC1B	0.01
SNAPC4	2.1525
TMEM52B	0.235
PMPCA	36.57
FRMPD1	1.3275
