GENE_NAME	human.mean
CLEC3A	0.11
RAD18	1.2425
CCDC68	1.4925
CLEC4E	3.2825
ZNF3	9.3925
ZSCAN21	5.95
TK2	24.9075
TMED3	36.995
ATP2B1	8.0075
SLC38A8	0.1575
CPLX4	0
GALR1	0.075
TMEM135	6.1625
IQCD	3.1975
NDEL1	14.975
CENPV	16.795
CDH16	651.855
RRAD	17.6775
CFAP52	0.565
HSP90B1	274.0925
MC4R	0.0775
BLCAP	67.045
SERPINB12	0
ATF7IP2	6.8675
TVP23A	0.6975
NCK2	23.98
TMPRSS5	0.2075
COG1	23.1725
PLEKHA7	23.8975
B2M	2293.66
ZNF592	8.9675
CASC4	32.195
HTR3A	0.0225
NNMT	82.405
AP1G1	32.65
MAP4K4	13.4375
SAAL1	5.705
YPEL4	0.3275
PPIB	362.1175
MGAT4A	11.2375
KIF7	1.265
LDHD	81.655
PLIN1	2.1
ANPEP	734.025
SCNN1G	38.9475
RBPMS2	19.93
NAV2	8.2075
ANKDD1A	1.7875
DCTN5	20.895
TERF2IP	32.6275
PLK1	1.375
GPR182	0.955
ZBTB39	1.255
WDR1	232.855
CACNG2	0
TAC3	0.43
MYO1A	0.2425
OR4D6	0
NAB2	11.695
VPS39	22.1125
STAT6	85.6025
PATL1	10.005
SNX13	9.69
ATP23	2.895
ELFN2	0.46
STX3	41.0975
PIP4K2C	35.7325
MTMR10	23.0525
SCG5	0.7375
GREM1	1.775
TSC22D4	33.6
MS4A14	0.495
MS4A5	0
DIS3L	9.8875
EPB42	0.4225
TGM6	0
SMAD3	13.015
MS4A15	0
MAP1A	1.56
AKTIP	27.96
EVA1C	8.455
RPS6KA2	14.4075
CNPY4	11.3825
TERB2	0.5925
NKX3-1	0.51
SGSM1	1.7025
TEF	17.2825
ING3	4.7825
B4GALNT2	2.61
PBX3	6.7925
GNGT2	2.4025
PHB	251.765
SNRPD1	18.7975
TTC16	0.3825
SUN5	0
SAMD14	2.5275
PIP5KL1	1.1425
VASH1	3.445
BPIFB6	0
FAM102A	57.9175
ACSF2	399.3175
COQ4	61.6775
SLC27A4	38.9975
URM1	43.1425
CERCAM	9.785
DOLPP1	8.9275
LMCD1	14.605
PRRX2	0.6825
C15orf39	4.4275
SP2	9.8175
PRR15L	35.575
GPRC5B	38.82
CRK	23.6825
FBXO22	17.5775
TBC1D2B	7.1875
NOD2	0.265
SNX20	0.4275
LOXHD1	0.3575
KATNAL2	6.6375
SEL1L	22.3
